Length of train dataset: 17526225
Length of dev dataset: 11722
-----------Using model checkpoint-----------
No wmt22_mmtafrica_final_bt.pt present. Default to original wmt22_mmtafrica_final.pt
Epoch: 1 | Step: 100 | Avg. loss: 30.588
Epoch: 1 | Step: 200 | Avg. loss: 30.694
Epoch: 1 | Step: 300 | Avg. loss: 30.419
Epoch: 1 | Step: 400 | Avg. loss: 30.629
Epoch: 1 | Step: 500 | Avg. loss: 30.517
Epoch: 1 | Step: 600 | Avg. loss: 30.674
Epoch: 1 | Step: 700 | Avg. loss: 30.423
Epoch: 1 | Step: 800 | Avg. loss: 30.564
Epoch: 1 | Step: 900 | Avg. loss: 30.463
Epoch: 1 | Step: 1000 | Avg. loss: 30.567
Epoch: 1 | Step: 1100 | Avg. loss: 30.595
Epoch: 1 | Step: 1200 | Avg. loss: 30.488
Epoch: 1 | Step: 1300 | Avg. loss: 30.637
Epoch: 1 | Step: 1400 | Avg. loss: 30.452
Epoch: 1 | Step: 1500 | Avg. loss: 30.508
Epoch: 1 | Step: 1600 | Avg. loss: 30.597
Epoch: 1 | Step: 1700 | Avg. loss: 30.604
Epoch: 1 | Step: 1800 | Avg. loss: 30.594
Epoch: 1 | Step: 1900 | Avg. loss: 30.596
Epoch: 1 | Step: 2000 | Avg. loss: 30.503
Epoch: 1 | Step: 2100 | Avg. loss: 30.516
Epoch: 1 | Step: 2200 | Avg. loss: 30.558
Epoch: 1 | Step: 2300 | Avg. loss: 30.499
Epoch: 1 | Step: 2400 | Avg. loss: 30.659
Epoch: 1 | Step: 2500 | Avg. loss: 30.490
Epoch: 1 | Step: 2600 | Avg. loss: 30.680
Epoch: 1 | Step: 2700 | Avg. loss: 30.713
Epoch: 1 | Step: 2800 | Avg. loss: 30.652
Epoch: 1 | Step: 2900 | Avg. loss: 30.565
Epoch: 1 | Step: 3000 | Avg. loss: 30.632
Epoch: 1 | Step: 3100 | Avg. loss: 30.574
Epoch: 1 | Step: 3200 | Avg. loss: 30.581
Epoch: 1 | Step: 3300 | Avg. loss: 30.608
Epoch: 1 | Step: 3400 | Avg. loss: 30.513
Epoch: 1 | Step: 3500 | Avg. loss: 30.757
Epoch: 1 | Step: 3600 | Avg. loss: 30.732
Epoch: 1 | Step: 3700 | Avg. loss: 30.590
Epoch: 1 | Step: 3800 | Avg. loss: 30.605
Epoch: 1 | Step: 3900 | Avg. loss: 30.622
Epoch: 1 | Step: 4000 | Avg. loss: 30.458
Epoch: 1 | Step: 4100 | Avg. loss: 30.603
Epoch: 1 | Step: 4200 | Avg. loss: 30.599
Epoch: 1 | Step: 4300 | Avg. loss: 30.557
Epoch: 1 | Step: 4400 | Avg. loss: 30.736
Epoch: 1 | Step: 4500 | Avg. loss: 30.824
Epoch: 1 | Step: 4600 | Avg. loss: 30.502
Epoch: 1 | Step: 4700 | Avg. loss: 30.616
Epoch: 1 | Step: 4800 | Avg. loss: 30.545
Epoch: 1 | Step: 4900 | Avg. loss: 30.617
Epoch: 1 | Step: 5000 | Avg. loss: 30.414
Epoch: 1 | Step: 5100 | Avg. loss: 30.578
Epoch: 1 | Step: 5200 | Avg. loss: 30.571
Epoch: 1 | Step: 5300 | Avg. loss: 30.598
Epoch: 1 | Step: 5400 | Avg. loss: 30.644
Epoch: 1 | Step: 5500 | Avg. loss: 30.545
Epoch: 1 | Step: 5600 | Avg. loss: 30.452
Epoch: 1 | Step: 5700 | Avg. loss: 30.615
Epoch: 1 | Step: 5800 | Avg. loss: 30.560
Epoch: 1 | Step: 5900 | Avg. loss: 30.535
Epoch: 1 | Step: 6000 | Avg. loss: 30.682
Epoch: 1 | Step: 6100 | Avg. loss: 30.684
Epoch: 1 | Step: 6200 | Avg. loss: 30.534
Epoch: 1 | Step: 6300 | Avg. loss: 30.582
Epoch: 1 | Step: 6400 | Avg. loss: 30.736
Epoch: 1 | Step: 6500 | Avg. loss: 30.591
Epoch: 1 | Step: 6600 | Avg. loss: 30.615
Epoch: 1 | Step: 6700 | Avg. loss: 30.644
Epoch: 1 | Step: 6800 | Avg. loss: 30.456
Epoch: 1 | Step: 6900 | Avg. loss: 30.742
Epoch: 1 | Step: 7000 | Avg. loss: 30.620
